_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,BARCODE,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
678006,329,PS-00311,1735,Bayview Ave,Bayview Ave,East,Parkhurst Blvd,South,09571,15,Bayview Leaside,Corral,Existing,K2609571,0,314783.024,4840958.756,-79.37612541,43.708513158,"{u'type': u'Point', u'coordinates': (-79.3761254064, 43.7085131587)}"
678007,330,PS-00313,2512,Jane St,Jane St,West,Sheppard Ave W,North,09573,7,,Corral,Existing,K0709573,0,303715.964,4844413.907,-79.51345825899999,43.73968015,"{u'type': u'Point', u'coordinates': (-79.5134582628, 43.7396801484)}"
678008,331,PS-00319,1104,Albion Rd,Albion Rd,North,Islington Ave,West,09577,1,Albion Islington Square,Corral,Existing,K0109577,0,299486.44,4844174.079,-79.565965246,43.737503159,"{u'type': u'Point', u'coordinates': (-79.5659652402, 43.7375031608)}"
678009,332,PS-00321,3660,Dufferin St,Wilson Ave,North,Dufferin St,West,09578,6,Wilson Village,Corral,Existing,K0909578,0,308071.812,4843580.538,-79.459385663,43.732172376,"{u'type': u'Point', u'coordinates': (-79.4593856621, 43.7321723823)}"
678010,333,PS-00324,1347,St Clair Ave W,St Clair Ave W,South,Lansdowne Ave,East,09579,9,Corso Italia,Corral,Existing,K1709579,0,308808.228,4837366.008,-79.45029048100001,43.676230088000004,"{u'type': u'Point', u'coordinates': (-79.4502904765, 43.6762300885)}"
678011,335,PS-00338,302,Queen St W,Queen St W,North,Soho St,West,09592,10,Queen Street West,Corral,Temporarily Removed,K2009592,0,313383.152,4834396.004,-79.393600156,43.649457361,"{u'type': u'Point', u'coordinates': (-79.3936001585, 43.6494573604)}"
678012,336,PS-00340,146,Spadina Ave,Spadina Ave,West,Richmond St W,North,09593,10,,Corral,Existing,K2009593,0,313169.09,4834236.036,-79.396256216,43.64801987,"{u'type': u'Point', u'coordinates': (-79.3962562222, 43.6480198716)}"
678013,337,PS-00347,2442,Bloor St W,Bloor St W,North,Jane St,West,09597,4,Bloor West Village,Corral,Temporarily Removed,K1309597,0,306014.959,4834362.223999999,-79.484938997,43.649201813999994,"{u'type': u'Point', u'coordinates': (-79.4849389944, 43.6492018183)}"
678014,338,PS-00352,590,Sheppard Ave W,Sheppard Ave W,North,Bathurst St,West,09601,6,,Corral,Existing,K1009601,0,309712.782,4846176.708000001,-79.438991919,43.755531997,"{u'type': u'Point', u'coordinates': (-79.4389919142, 43.7555319965)}"
678015,340,PS-00366,2104,Queen St E,Queen St E,North,Wineva Ave,East,09613,19,The Beach,Corral,Existing,K3209613,0,321287.782,4836811.869,-79.295538202,43.671070055,"{u'type': u'Point', u'coordinates': (-79.2955382065, 43.6710700583)}"
