_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,STYLE,BARCODE,POSTERBOARD,POSTERBOARDSTATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
659021,8005,TR-01033,3601,Victoria Park Ave,Victoria Park Ave,East,Mcnicoll Ave,South,T8480,22,,LKN,Existing,Provincial,S3908480,Yes,Existing,0,317992.42600000004,4851557.601,-79.33604132800001,43.803864931999996,"{u'type': u'Point', u'coordinates': (-79.3360413265, 43.8038649337)}"
659022,8008,TR-00255,2175,Sheppard Ave E,Sheppard Ave E,South,Consumers Rd,East,T7175,17,,J,Existing,Provincial,00TS9120,Yes,Existing,0,318411.636,4848347.096,-79.330912795,43.774959259,"{u'type': u'Point', u'coordinates': (-79.3309127908, 43.7749592571)}"
659023,8009,TR-02825,3302,Dufferin St,Dufferin St,West,Bentworth Ave,North,T2019,8,,B,Existing,Provincial,0TS10894,Yes,Existing,0,308297.803,4842449.063,-79.456587705,43.721986672,"{u'type': u'Point', u'coordinates': (-79.4565877003, 43.7219866759)}"
659024,8026,TR-01768,1561,Dundas St W,Dundas St W,South,Sheridan Ave,West,T2186,9,Little Portugal,J,Existing,Provincial,,Yes,Existing,0,310122.572,4834422.547,-79.43401918800001,43.64972676,"{u'type': u'Point', u'coordinates': (-79.4340191857, 43.6497267582)}"
659025,8030,TR-06108,6530,Lawrence Ave E,Lawrence Ave E,North,Stotts Ter,West,T9972,25,,LKN,Existing,Provincial,S4409972,Yes,Existing,0,334741.505,4849315.103999999,-79.128008049,43.783192151,"{u'type': u'Point', u'coordinates': (-79.1280080524, 43.7831921559)}"
659026,8032,TR-04473,51,Morecambe Gt,Victoria Park Ave,East,Morecambe Gt,South,T8485,22,,V,Existing,Provincial,0TS12972,Yes,Existing,0,318207.148,4850898.244,-79.333389219,43.797926142,"{u'type': u'Point', u'coordinates': (-79.3333892139, 43.7979261457)}"
659027,8033,TR-06090,,,The Westway,North,Sun Row Dr,East,T6203,2,,LKN,Existing,Provincial,,Yes,Existing,0,301521.506,4838823.831,-79.540668324,43.689355978,"{u'type': u'Point', u'coordinates': (-79.5406683229, 43.6893559794)}"
659028,8039,TR-01005,251,Coxwell Ave,Coxwell Ave,East,Eastwood Rd,South,T1790,19,,LK,Existing,Provincial,00TS5750,Yes,Existing,0,319386.532,4836993.26,-79.319110209,43.672742543999995,"{u'type': u'Point', u'coordinates': (-79.3191102125, 43.672742549)}"
659029,8040,TR-01018,1,Concorde Pl,Concorde Pl,East,Wynford Heights Cres,North,T11259,16,,T,Existing,Provincial,S2611259,Yes,Existing,0,318643.406,4843151.241,-79.328167564,43.728186228999995,"{u'type': u'Point', u'coordinates': (-79.328167558, 43.7281862354)}"
659030,8042,SH-00700,385,The West Mall,The West Mall,East,Civic Centre Crt,South,T8672,2,,A,Existing,Enseicom,,Yes,Existing,0,299497.79,4833570.493,-79.565720041,43.642057253000004,"{u'type': u'Point', u'coordinates': (-79.5657200366, 43.6420572567)}"
659031,8044,TR-03717,1245,Ellesmere Rd,Ellesmere Rd,South,Birkdale Rd,West,T7680,21,,LK,Existing,Provincial,0TS12552,Yes,Existing,0,323570.897,4847668.52,-79.266847314,43.768738546,"{u'type': u'Point', u'coordinates': (-79.2668473179, 43.7687385479)}"
659032,8045,TR-03731,,,Brimley Rd,East,Finch Ave E,South,T4821,23,,LK,Existing,Provincial,0TS12556,Yes,Existing,0,322740.668,4851729.444,-79.277023647,43.805311806999995,"{u'type': u'Point', u'coordinates': (-79.2770236516, 43.8053118084)}"
659033,8048,TR-02963,215,Sherway Gardens Rd,Evans Ave,North,Sherway Gt,West,T11616,3,,LK,Existing,Provincial,00TS3462,Yes,Existing,0,300212.525,4829900.187,-79.556829889,43.609024123999994,"{u'type': u'Point', u'coordinates': (-79.5568298841, 43.6090241282)}"
659034,8052,TR-01432,775,Steeles Ave W,Greenwin Village Rd,North,Regatta Cres,East,T1139,18,,T,Existing,Provincial,S1001139,Yes,Existing,0,309394.74,4850140.627,-79.442907502,43.791213916000004,"{u'type': u'Point', u'coordinates': (-79.4429074995, 43.791213915)}"
