_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,STYLE,BARCODE,POSTERBOARD,POSTERBOARDSTATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
2474534,3471,TR-04210,239,Scarlett Rd,Scarlett Rd,East,East Dr,South,T7082,5,,LC,Existing,Provincial,0TS12918,No,,0,304333.273,4837421.572,-79.505788333,43.676740895,"{u'type': u'Point', u'coordinates': (-79.5057883368, 43.6767408997)}"
2474535,3472,TR-04195,,,Midland Ave,East,Goodland Gt,South,T5705,23,,LKN,Existing,Provincial,S4105705,Yes,Existing,0,322890.001,4848783.415,-79.275267057,43.77879076600001,"{u'type': u'Point', u'coordinates': (-79.275267062, 43.7787907652)}"
2474536,3473,TR-04223,755,Oakdale Rd,Oakdale Rd,East,Finch Ave W,South,T5894,7,,LKN,Temporarily Removed,Provincial,S0705894,Yes,Existing,0,302699.74600000004,4845905.303,-79.5260804,43.753102332,"{u'type': u'Point', u'coordinates': (-79.5260803946, 43.7531023331)}"
2474537,3474,TR-04130,3588,Eglinton Ave W,Eglinton Ave W,North,Pearen St,West,T2393,5,,LC,Existing,Provincial,00TS6946,No,,0,305339.769,4838468.308999999,-79.49330474899999,43.686162856,"{u'type': u'Point', u'coordinates': (-79.4933047504, 43.6861628567)}"
2474538,3475,TR-04201,,,Progress Ave,North,Schick Crt,West,T4541,21,,S,Existing,Provincial,S3704541,No,,0,323565.77,4848302.366,-79.266888845,43.774443988,"{u'type': u'Point', u'coordinates': (-79.2668888407, 43.7744439859)}"
2474539,3476,TR-04205,29,Trudy Rd,Finch Ave E,South,Trudy Rd,East,T2564,17,,LK,Existing,Provincial,0TS12788,Yes,Existing,0,315849.415,4850104.456,-79.36270506,43.790820126999996,"{u'type': u'Point', u'coordinates': (-79.3627050566, 43.7908201309)}"
2474540,3477,TR-04216,621,Ellesmere Rd,Ellesmere Rd,South,Birchmount Rd,West,T7678,21,,LK,Existing,Provincial,00TS9838,Yes,Existing,0,321574.714,4847048.401000001,-79.291661037,43.76320467,"{u'type': u'Point', u'coordinates': (-79.291661042, 43.7632046721)}"
2474541,3478,TR-04202,,,Brimorton Dr,South,Orton Park Rd,West,T11100,24,,RN2,Existing,Provincial,S4311100,No,,0,328231.5,4847974.992,-79.208945408,43.77136437,"{u'type': u'Point', u'coordinates': (-79.2089454113, 43.7713643717)}"
2474542,3479,TR-04131,2,Bushey Ave,Weston Rd,West,Bushey Ave,North,T8700,5,,LC,Existing,Provincial,00TS7048,No,,0,306137.769,4838213.788,-79.483407052,43.683870823999996,"{u'type': u'Point', u'coordinates': (-79.4834070569, 43.683870827)}"
2474543,3480,TR-04158,410,Queens Quay W,Lower Spadina Ave,Centre East,Queens Quay W,North,T12085B,10,,Q10-SA,Existing,Provincial,TS12684M,No,,0,313517.011,4833131.29,-79.391961202,43.63807166,"{u'type': u'Point', u'coordinates': (-79.3919612004, 43.6380716632)}"
2474544,3481,TR-04138,1480,Kennedy Rd,Ellesmere Rd,South,Kennedy Rd,West,T7693,21,Kennedy Road,LK,Existing,Provincial,00TS9662,Yes,Existing,0,322394.785,4847316.232,-79.281467202,43.76559643,"{u'type': u'Point', u'coordinates': (-79.281467202, 43.7655964308)}"
2474545,3482,TR-04174,600,Sewell's Rd,Morningview Trl,West,Sewell's Rd,North,T13326,25,,LKN,Existing,Provincial,S4213326,Yes,Existing,0,328850.106,4853379.926,-79.201019032,43.819994406999996,"{u'type': u'Point', u'coordinates': (-79.2010190301, 43.8199944053)}"
2474546,3483,TR-04198,3604,Dufferin St,Dufferin St,West,Anthony Rd,North,T2107,6,,RN2,Existing,Provincial,,No,,0,308119.541,4843472.285,-79.45879385100001,43.73119775600001,"{u'type': u'Point', u'coordinates': (-79.4587938507, 43.7311977601)}"
2474547,3484,TR-04214,160,The Westway,The Westway,North,Islington Ave,East,T6191,2,,LC,Existing,Provincial,00TS1336,No,,0,301367.636,4838763.054,-79.54257663,43.688808212,"{u'type': u'Point', u'coordinates': (-79.5425766272, 43.6888082125)}"
2474548,3485,TR-04192,,,The Queensway,North,South Kingsway,East,T15146,4,,LC,Existing,Provincial,0TS13790,No,,0,306987.377,4832927.368,-79.472890417,43.636283923,"{u'type': u'Point', u'coordinates': (-79.472890411, 43.6362839214)}"
2474549,3486,TR-04212,11,Church St,Church St,South,Weston Rd,East,T4887,5,Weston Village,LCN,Existing,Provincial,S1104887,No,,0,302785.1,4840367.827,-79.524999757,43.703258434,"{u'type': u'Point', u'coordinates': (-79.5249997521, 43.7032584337)}"
2474550,3487,TR-04168,,,College St,Centre South,Spadina Ave,West,T843C,11,Chinatown,Q10-SA,Existing,Provincial,TS12700L,No,,0,312809.906,4835324.563999999,-79.400692545,43.657822034,"{u'type': u'Point', u'coordinates': (-79.4006925393, 43.6578220403)}"
2474551,3488,TR-04200,,,Bushby Dr,North,Mccowan Rd,East,T9609,24,,LKN,Existing,Provincial,S3809609,Yes,Existing,0,324765.026,4848339.508,-79.25199026199999,43.774746951000004,"{u'type': u'Point', u'coordinates': (-79.251990258, 43.7747469493)}"
